Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,1097677.33.faa,1874630.22.faa,1874630.26.faa,31963.54.faa,31963.56.faa,31964.81.faa,31964.84.faa,31965.20.faa,31965.24.faa,33014.40.faa,33014.42.faa,443906.110.faa
290_fig-1097677.33.peg.290.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
291_fig-1097677.33.peg.291.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
292_fig-1097677.33.peg.292.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
294_fig-1097677.33.peg.294.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,1
299_fig-1097677.33.peg.299.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
310_fig-1097677.33.peg.310.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,1,0,0
314_fig-1097677.33.peg.314.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
321_fig-1097677.33.peg.321.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
322_fig-1097677.33.peg.322.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
323_fig-1097677.33.peg.323.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
325_fig-1097677.33.peg.325.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
326_fig-1097677.33.peg.326.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,0
331_fig-1097677.33.peg.331.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
335_fig-1097677.33.peg.335.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
336_fig-1097677.33.peg.336.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
338_fig-1097677.33.peg.338.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
341_fig-1097677.33.peg.341.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
343_fig-1097677.33.peg.343.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
349_fig-1097677.33.peg.349.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
350_fig-1097677.33.peg.350.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
351_fig-1097677.33.peg.351.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
352_fig-1097677.33.peg.352.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
363_fig-1097677.33.peg.363.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
364_fig-1097677.33.peg.364.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
365_fig-1097677.33.peg.365.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
367_fig-1097677.33.peg.367.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
368_fig-1097677.33.peg.368.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
369_fig-1097677.33.peg.369.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
370_fig-1097677.33.peg.370.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
375_fig-1097677.33.peg.375.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0
376_fig-1097677.33.peg.376.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
378_fig-1097677.33.peg.378.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,1,0
381_fig-1097677.33.peg.381.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
382_fig-1097677.33.peg.382.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,0
384_fig-1097677.33.peg.384.faa,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,0,1
390_fig-1097677.33.peg.390.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
391_fig-1097677.33.peg.391.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
392_fig-1097677.33.peg.392.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
393_fig-1097677.33.peg.393.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
407_fig-1097677.33.peg.407.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
408_fig-1097677.33.peg.408.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0
412_fig-1097677.33.peg.412.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
414_fig-1097677.33.peg.414.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,0,0,1
431_fig-1097677.33.peg.431.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
438_fig-1097677.33.peg.438.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,0,1,1,1
448_fig-1097677.33.peg.448.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
451_fig-1097677.33.peg.451.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
453_fig-1097677.33.peg.453.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
454_fig-1097677.33.peg.454.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
456_fig-1097677.33.peg.456.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1
466_fig-1097677.33.peg.466.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
467_fig-1097677.33.peg.467.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
468_fig-1097677.33.peg.468.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
469_fig-1097677.33.peg.469.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
470_fig-1097677.33.peg.470.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
471_fig-1097677.33.peg.471.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
472_fig-1097677.33.peg.472.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
473_fig-1097677.33.peg.473.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
474_fig-1097677.33.peg.474.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
475_fig-1097677.33.peg.475.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
476_fig-1097677.33.peg.476.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
477_fig-1097677.33.peg.477.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
478_fig-1097677.33.peg.478.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
479_fig-1097677.33.peg.479.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
485_fig-1097677.33.peg.485.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
514_fig-1097677.33.peg.514.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
515_fig-1097677.33.peg.515.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
516_fig-1097677.33.peg.516.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
517_fig-1097677.33.peg.517.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
535_fig-1097677.33.peg.535.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
553_fig-1097677.33.peg.553.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
554_fig-1097677.33.peg.554.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
591_fig-1097677.33.peg.591.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
596_fig-1097677.33.peg.596.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
597_fig-1097677.33.peg.597.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
602_fig-1097677.33.peg.602.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,0
610_fig-1097677.33.peg.610.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
611_fig-1097677.33.peg.611.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,0
617_fig-1097677.33.peg.617.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0
618_fig-1097677.33.peg.618.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0
619_fig-1097677.33.peg.619.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
622_fig-1097677.33.peg.622.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
623_fig-1097677.33.peg.623.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
624_fig-1097677.33.peg.624.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
632_fig-1097677.33.peg.632.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
635_fig-1097677.33.peg.635.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
673_fig-1097677.33.peg.673.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
674_fig-1097677.33.peg.674.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
677_fig-1097677.33.peg.677.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
678_fig-1097677.33.peg.678.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
679_fig-1097677.33.peg.679.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
680_fig-1097677.33.peg.680.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
681_fig-1097677.33.peg.681.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
682_fig-1097677.33.peg.682.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,0,0,1,1,0
694_fig-1097677.33.peg.694.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
718_fig-1097677.33.peg.718.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
727_fig-1097677.33.peg.727.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
728_fig-1097677.33.peg.728.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,1,1,0
729_fig-1097677.33.peg.729.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,1,1,0
734_fig-1097677.33.peg.734.faa,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,1,1,0
741_fig-1097677.33.peg.741.faa,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,1,1,0
761_fig-1097677.33.peg.761.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,1
762_fig-1097677.33.peg.762.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
768_fig-1097677.33.peg.768.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
773_fig-1097677.33.peg.773.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
774_fig-1097677.33.peg.774.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
777_fig-1097677.33.peg.777.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
790_fig-1097677.33.peg.790.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0
812_fig-1097677.33.peg.812.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,1
841_fig-1097677.33.peg.841.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
847_fig-1097677.33.peg.847.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
848_fig-1097677.33.peg.848.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
877_fig-1097677.33.peg.877.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,0
902_fig-1097677.33.peg.902.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
906_fig-1097677.33.peg.906.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
907_fig-1097677.33.peg.907.faa,,,,,,,,,,,,,,1,0,0,1,0,1,1,1,1,1,1,1
909_fig-1097677.33.peg.909.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
910_fig-1097677.33.peg.910.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
936_fig-1097677.33.peg.936.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
937_fig-1097677.33.peg.937.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
1009_fig-1097677.33.peg.1009.faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1
1022_fig-1097677.33.peg.1022.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1
1039_fig-1097677.33.peg.1039.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
1040_fig-1097677.33.peg.1040.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
1063_fig-1097677.33.peg.1063.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,1
1064_fig-1097677.33.peg.1064.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
1066_fig-1097677.33.peg.1066.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0
1073_fig-1097677.33.peg.1073.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,1,1,0
1154_fig-1097677.33.peg.1154.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0
1164_fig-1097677.33.peg.1164.faa,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,1
1165_fig-1097677.33.peg.1165.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
1166_fig-1097677.33.peg.1166.faa,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,0,0
1167_fig-1097677.33.peg.1167.faa,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,1,0
1168_fig-1097677.33.peg.1168.faa,,,,,,,,,,,,,,1,0,0,0,1,1,1,1,1,1,1,1
1171_fig-1097677.33.peg.1171.faa,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
