Genomes		AAD_1--ALKL_1	AAD_2--BCL_1	AAD_3--ALKN_1	AAD_4--ALKB_1	AAD_5--ALKM_1	AAD_6--ALKG_1	AAD_7--ALKF_1	AAD_8--RUBA_1	AAD_9--ALKT_1	AAD_10--RUBB_1	AAD_11--ALKJ_1	AAD_12--ALKH_1	AAD_13--ALKK_1	AAD_14--ALKS_1	AAD_15--ALKR_1	AAD_16--AUPA_1	AAD_17--ALMA_1	AAD_18--LADA_1
Alishewanella_04302015_002278995_		0	0	8	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
Alishewanella_04302015_002280155_		0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
Alishewanella_longhuensis_GCA_014653435_		0	0	21	0	0	0	0	0	2	1	0	4	1	0	0	0	0	0
Alishewanella_tabrizica_GCA_014652375_		0	0	12	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
Alkalimarinus_sediminis_GCA_023721695_		0	0	13	2	2	0	0	0	3	3	1	7	4	0	0	0	3	0
Alkalimarinus_sediminis_GCA_026427595_		0	0	13	2	2	0	0	0	3	3	1	7	4	0	0	0	3	0
Alkalimarinus_sp._GCA_023650475_		0	0	12	1	1	0	0	0	3	3	1	7	5	0	0	0	3	0
Alkalimarinus_sp._GCA_023650495_		0	0	12	1	1	0	0	0	3	3	1	7	5	0	0	0	3	0
Alkalimarinus_sp._GCA_023650515_		0	0	12	1	1	0	0	0	3	3	1	7	5	0	0	0	3	0
Alkalimarinus_sp._GCA_026016465_		0	0	8	2	2	0	0	0	3	3	0	6	5	0	0	0	3	0
Alteromonadaceae_bacterium_GCA_004353515_		0	0	12	0	0	0	0	0	2	2	2	8	2	0	7	0	3	0
Alteromonadaceae_bacterium_GCA_019633705_		0	0	11	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0
Alteromonadaceae_bacterium_GCA_900177435_		0	0	11	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0
Alteromonadaceae_bacterium_UBA1089_GCA_002314215_		0	0	5	0	0	0	0	0	0	0	2	8	3	0	0	0	0	0
Alteromonadaceae_bacterium_UBA1099_GCA_002313575_		0	0	10	0	0	0	0	0	1	0	1	12	3	0	1	0	0	0
Alteromonadaceae_bacterium_UBA1282_GCA_002308075_		0	0	14	0	0	0	0	0	1	1	1	12	5	0	1	0	0	0
Alteromonadaceae_bacterium_UBA1334_GCA_002306695_		0	0	6	0	0	0	0	0	0	0	1	8	4	0	0	0	0	0
Alteromonadaceae_bacterium_UBA1517_GCA_002323905_		0	0	3	0	0	0	0	0	0	0	1	7	4	0	0	0	0	0
Alteromonadaceae_bacterium_UBA1974_GCA_002336345_		0	0	10	0	0	0	0	0	1	0	1	13	5	0	1	0	0	0
Alteromonadaceae_bacterium_UBA1980_GCA_002335925_		0	0	7	0	0	0	0	0	1	0	1	10	6	0	0	0	0	0
Alteromonadaceae_bacterium_UBA2620_GCA_002339125_		0	0	6	0	0	0	0	0	1	0	1	13	6	0	0	0	0	0
Alteromonadaceae_bacterium_UBA3345_GCA_002360835_		0	0	10	0	0	0	0	0	1	0	1	12	4	0	1	0	0	0
Alteromonadaceae_bacterium_UBA6945_GCA_002448695_		0	0	9	0	0	0	0	0	1	0	2	10	2	0	0	0	0	0
Alteromonadaceae_bacterium_UBA7296_GCA_002471965_		0	0	11	0	0	0	0	0	1	0	1	10	3	0	0	0	0	0
Alteromonadaceae_bacterium_UBA7313_GCA_002471585_		0	0	5	0	0	0	0	0	0	0	1	9	5	0	0	0	0	0
Alteromonadaceae_bacterium_UBA7387_GCA_002469715_		0	0	10	0	0	0	0	0	1	0	1	10	4	0	1	0	0	0
Alteromonadaceae_bacterium_UBA7799_GCA_002480605_		0	0	5	0	0	0	0	0	0	0	1	7	5	0	0	0	0	0
Alteromonadaceae_bacterium_UBA7877_GCA_002500055_		0	0	5	0	0	0	0	0	0	0	1	8	5	0	0	0	0	0
Alteromonadaceae_bacterium_UBA820_GCA_002296505_		0	0	7	0	0	0	0	0	1	0	1	10	5	0	0	0	0	0
Alteromonadaceae_bacterium_UBA858_GCA_002295415_		0	0	11	0	0	0	0	0	1	0	1	10	3	0	0	0	0	0
Alteromonadaceae_bacterium_UBA884_GCA_002294645_		0	0	7	0	0	0	0	0	1	0	1	9	5	0	0	0	0	0
Alteromonadaceae_DT_013216005_		0	0	7	1	1	0	0	0	1	0	1	10	3	0	0	0	0	0
Alteromonadaceae_DT_013216015_		0	0	7	1	1	0	0	0	1	0	0	12	5	0	1	0	0	0
Alteromonas_addita_GCA_001562195_		0	0	8	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_alba_GCA_002993365_		0	0	11	0	0	0	0	0	1	0	1	12	6	0	0	0	0	0
Alteromonas_ALOHA_022448445_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_australica_GCA_000730385_		0	0	9	0	0	0	0	0	2	1	1	10	3	0	0	0	0	0
Alteromonas_australica_GCA_000934525_		0	0	12	0	0	0	0	0	2	1	1	6	3	0	0	0	0	0
Alteromonas_australica_UBA1094_GCA_002314095_		0	0	9	0	0	0	0	0	2	1	1	8	3	0	0	0	0	0
Alteromonas_australica_UBA11621_GCA_003509205_		0	0	9	0	0	0	0	0	2	1	1	7	3	0	0	0	0	0
Alteromonas_australica_UBA11978_GCA_003543695_		0	0	5	0	0	0	0	0	1	1	0	6	3	0	0	0	0	0
Alteromonas_australica_UBA1610_GCA_002321865_		0	0	7	0	0	0	0	0	2	1	1	10	3	0	0	0	0	0
Alteromonas_australica_UBA1964_GCA_002336065_		0	0	9	0	0	0	0	0	2	1	1	7	3	0	0	0	0	0
Alteromonas_australica_UBA2101_GCA_002331525_		0	0	10	0	0	0	0	0	2	1	1	8	2	0	0	0	0	0
Alteromonas_australica_UBA2516_GCA_002341225_		0	0	9	0	0	0	0	0	2	1	1	9	4	0	0	0	0	0
Alteromonas_australica_UBA3358_GCA_002360575_		0	0	10	0	0	0	0	0	2	1	1	9	3	0	0	0	0	0
Alteromonas_australica_UBA3391_GCA_002358795_		0	0	9	0	0	0	0	0	2	1	1	8	3	0	0	0	0	0
Alteromonas_australica_UBA3395_GCA_002358715_		0	0	11	0	0	0	0	0	2	1	1	8	2	0	0	0	0	0
Alteromonas_australica_UBA4540_GCA_002393315_		0	0	10	0	0	0	0	0	2	1	1	9	3	0	0	0	0	0
Alteromonas_australica_UBA6505_GCA_002436375_		0	0	9	0	0	0	0	0	2	1	0	7	2	0	0	0	0	0
Alteromonas_australica_UBA6611_GCA_002433285_		0	0	9	0	0	0	0	0	2	1	1	8	3	0	0	0	0	0
Alteromonas_australica_UBA6942_GCA_002450605_		0	0	11	0	0	0	0	0	2	1	0	10	3	0	0	0	0	0
Alteromonas_australica_UBA7297_GCA_002471925_		0	0	9	0	0	0	0	0	2	1	1	9	4	0	0	0	0	0
Alteromonas_australica_UBA7321_GCA_002471465_		0	0	7	0	0	0	0	0	2	1	1	7	3	0	0	0	0	0
Alteromonas_australica_UBA7385_GCA_002470725_		0	0	10	0	0	0	0	0	2	1	0	9	2	0	0	0	0	0
Alteromonas_australica_UBA7875_GCA_002501245_		0	0	9	0	0	0	0	0	2	1	1	8	3	0	0	0	0	0
Alteromonas_australica_UBA7917_GCA_003484945_		0	0	5	0	0	0	0	0	1	1	0	6	2	0	0	0	0	0
Alteromonas_australica_UBA7977_GCA_003500945_		0	0	10	0	0	0	0	0	2	1	1	6	2	0	0	0	0	0
Alteromonas_australica_UBA834_GCA_002296105_		0	0	10	0	0	0	0	0	2	1	0	8	3	0	0	0	0	0
Alteromonas_australica_UBA842_GCA_002296005_		0	0	9	0	0	0	0	0	2	1	0	6	2	0	0	0	0	0
Alteromonas_australica_UBA9451_GCA_003451335_		0	0	5	0	0	0	0	0	2	1	0	7	5	0	0	0	0	0
Alteromonas_confluentis_GCA_001757105_		0	0	8	0	0	0	0	0	0	0	2	15	2	0	0	0	0	0
Alteromonas_DJN.21_023260715_		0	0	5	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0
Alteromonas_DT_013216085_		0	0	7	0	0	0	0	0	1	0	1	8	3	0	0	0	1	0
Alteromonas_gracilis_GCA_002993325_		0	1	8	0	0	0	0	0	1	0	2	9	4	0	0	0	1	0
Alteromonas_halophila_GCA_014651815_		0	1	6	0	0	0	0	0	0	0	2	8	2	0	0	0	0	0
Alteromonas_hispanica_GCA_010500915_		0	0	10	0	0	0	0	0	0	0	2	7	3	0	0	0	1	0
Alteromonas_lipolytica_GCA_001758465_		0	0	15	0	0	0	0	0	2	0	2	19	7	0	0	0	0	0
Alteromonas_macleodii_GCA_000172635_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_GCA_000299955_		0	0	10	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_GCA_000299995_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	0	0
Alteromonas_macleodii_GCA_000300175_		0	0	12	0	0	0	0	0	1	0	2	7	5	0	0	0	1	0
Alteromonas_macleodii_GCA_001562235_		0	0	9	0	0	0	0	0	1	0	2	7	3	0	0	0	0	0
Alteromonas_macleodii_GCA_001578515_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_GCA_002849875_		0	0	9	0	0	0	0	0	1	0	2	8	4	0	0	0	1	0
Alteromonas_macleodii_GCA_014825945_		0	0	7	0	0	0	0	0	1	0	2	10	3	0	0	0	0	0
Alteromonas_macleodii_GCA_023805395_		0	0	10	0	0	0	0	0	2	1	2	9	4	0	0	0	1	0
Alteromonas_macleodii_GCA_901446615_		0	0	9	0	0	0	0	0	1	0	2	9	4	0	0	0	1	0
Alteromonas_macleodii_GCA_901446755_		0	0	9	0	0	0	0	0	1	0	2	9	4	0	0	0	1	0
Alteromonas_macleodii_GCA_901457775_		0	0	9	0	0	0	0	0	1	0	2	9	4	0	0	0	1	0
Alteromonas_macleodii_GCA_901457785_		0	0	9	0	0	0	0	0	1	0	2	9	4	0	0	0	1	0
Alteromonas_macleodii_GCA_901457815_		0	0	8	0	0	0	0	0	1	0	2	10	5	0	0	0	1	0
Alteromonas_macleodii_GCA_901457835_		0	0	9	0	0	0	0	0	1	0	2	8	4	0	0	0	1	0
Alteromonas_macleodii_UBA1010_GCA_002291655_		0	0	8	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_UBA1088_GCA_002313715_		0	0	8	0	0	0	0	0	0	0	2	9	5	0	0	0	1	0
Alteromonas_macleodii_UBA1521_GCA_002323435_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_UBA1661_GCA_002320795_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_macleodii_UBA1960_GCA_002339095_		0	0	8	0	0	0	0	0	1	0	2	8	4	0	0	0	1	0
Alteromonas_macleodii_UBA3523_GCA_002377105_		0	0	7	0	0	0	0	0	0	0	2	5	4	0	0	0	0	0
Alteromonas_macleodii_UBA4146_GCA_002380205_		0	0	8	0	0	0	0	0	1	0	1	8	5	0	0	0	1	0
Alteromonas_macleodii_UBA7874_GCA_002500615_		0	0	4	0	0	0	0	0	0	0	2	6	5	0	0	0	1	0
Alteromonas_macleodii_UBA9448_GCA_003453115_		0	0	6	0	0	0	0	0	1	0	1	4	4	0	0	0	1	0
Alteromonas_macleodii_UBA9450_GCA_003451095_		0	0	5	0	0	0	0	0	0	0	2	5	3	0	0	0	1	0
Alteromonas_mediterranea_GCA_000020585_		0	0	7	0	0	0	0	0	1	0	2	6	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_000310085_		0	1	7	0	0	0	0	0	1	0	3	8	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439475_		0	1	9	0	0	0	0	0	1	0	2	7	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439495_		0	1	8	0	0	0	0	0	1	0	3	8	3	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439515_		0	0	8	0	0	0	0	0	1	0	2	6	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439535_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439575_		0	1	7	0	0	0	0	0	1	0	3	8	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_000439595_		0	1	7	0	0	0	0	0	1	0	3	7	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_001562295_		0	1	7	0	0	0	0	0	1	0	3	8	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_001562315_		0	1	7	0	0	0	0	0	1	0	3	8	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_001886395_		0	1	9	0	0	0	0	0	1	0	2	7	3	0	0	0	1	0
Alteromonas_mediterranea_GCA_001886415_		0	1	10	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_001886435_		0	0	10	0	0	0	0	0	1	0	2	7	5	0	0	0	1	0
Alteromonas_mediterranea_GCA_001886455_		0	1	10	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_006517095_		0	1	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_mediterranea_GCA_006517115_		0	1	9	0	0	0	0	0	1	0	2	7	3	0	0	0	1	0
Alteromonas_mediterranea_GCA_009759785_		0	1	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_mediterranea_UBA2495_GCA_002341625_		0	0	8	0	0	0	0	0	1	0	2	7	2	0	0	0	1	0
Alteromonas_MSM1_024305345_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_naphthalenivorans_GCA_000213655_		0	0	8	0	0	0	0	0	0	0	2	10	3	0	0	0	0	0
Alteromonas_oceani_GCA_003731635_		0	0	13	0	0	0	0	0	1	0	2	14	7	0	1	0	0	0
Alteromonas_oceanisediminis_GCA_018474025_		0	1	5	1	1	0	0	0	1	1	1	9	3	0	0	0	2	0
Alteromonas_pelagimontana_GCA_002499975_		0	0	8	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0
Alteromonas_ponticola_GCA_026183735_		0	1	6	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0
Alteromonas_profundi_GCA_010500865_		0	0	8	0	0	0	0	0	0	0	1	8	6	0	0	0	0	0
Alteromonas_REDSEA-S09_001626275_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_REDSEA-S10_001626355_		0	0	4	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0
Alteromonas_REDSEA-S14_001626315_		0	0	5	0	0	0	0	0	0	0	2	6	2	0	0	0	1	0
Alteromonas_REDSEA-S15_001626115_		0	0	8	0	0	0	0	0	0	0	1	5	2	0	0	0	1	0
Alteromonas_sp._GCA_000753865_		0	0	8	0	0	0	0	0	1	1	2	9	3	0	0	0	1	0
Alteromonas_sp._GCA_000753915_		0	0	8	0	0	0	0	0	1	1	2	9	3	0	0	0	1	0
Alteromonas_sp._GCA_001562125_		0	0	8	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_sp._GCA_001562155_		0	0	8	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_sp._GCA_001886475_		0	0	6	0	0	0	0	0	1	0	2	8	6	0	0	0	1	0
Alteromonas_sp._GCA_002831605_		0	0	7	0	0	0	0	0	1	0	2	7	3	0	0	0	1	0
Alteromonas_sp._GCA_003201515_		0	0	9	0	0	0	0	0	1	0	2	7	4	0	0	0	1	0
Alteromonas_sp._GCA_003443615_		0	0	8	0	0	0	0	0	1	0	2	7	5	0	0	0	1	0
Alteromonas_sp._GCA_003584565_		0	1	10	0	0	0	0	0	1	0	2	11	2	0	0	0	0	0
Alteromonas_sp._GCA_003626795_		0	0	8	0	0	0	0	0	1	0	2	7	5	0	0	0	1	0
Alteromonas_sp._GCA_003989595_		0	0	8	0	0	0	0	0	0	0	2	10	2	0	0	0	0	0
Alteromonas_sp._GCA_015767655_		0	0	12	0	0	0	0	0	2	1	1	9	5	0	0	0	0	0
Alteromonas_sp._GCA_016405965_		0	1	8	0	0	0	0	0	1	0	3	8	5	0	0	1	1	0
Alteromonas_sp._GCA_016756315_		0	0	11	1	1	0	0	0	3	2	2	9	4	0	2	0	0	0
Alteromonas_sp._GCA_016756335_		0	0	11	1	1	0	0	0	3	2	2	9	4	0	2	0	0	0
Alteromonas_sp._GCA_017653625_		0	0	10	0	0	0	0	0	0	0	3	10	3	0	0	0	0	0
Alteromonas_sp._GCA_018619335_		0	0	8	0	0	0	0	0	2	0	2	9	6	0	0	0	1	0
Alteromonas_sp._GCA_018860965_		0	0	8	0	0	0	0	0	2	1	0	13	2	0	0	0	0	0
Alteromonas_sp._GCA_022348345_		0	0	10	0	0	0	0	0	1	0	3	9	5	0	1	0	1	0
Alteromonas_sp._GCA_024300645_		0	1	0	0	0	0	0	0	1	0	1	4	1	0	0	0	1	0
Alteromonas_sp._GCA_025628895_		0	1	7	0	0	0	0	0	0	0	2	7	3	0	0	0	0	0
Alteromonas_sp._GCA_026183695_		0	1	5	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0
Alteromonas_sp._GCA_900654235_		0	0	6	0	0	0	0	0	0	0	3	11	2	0	0	0	0	0
Alteromonas_sp._GCA_902506055_		0	0	7	0	0	0	0	0	1	1	2	15	5	0	3	0	0	0
Alteromonas_sp._GCA_903772925_		0	0	8	0	0	0	0	0	3	2	2	8	5	0	0	0	1	0
Alteromonas_sp._GCA_904067635_		0	0	7	0	0	0	0	0	1	1	2	15	5	0	3	0	0	0
Alteromonas_sp._UBA11665_GCA_003535135_		0	0	4	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0
Alteromonas_sp._UBA11887_GCA_003484825_		0	0	7	0	0	0	0	0	1	0	0	9	3	0	1	0	0	0
Alteromonas_sp._UBA11992_GCA_003519825_		0	0	5	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0
Alteromonas_sp._UBA12553_GCA_003518915_		0	0	4	0	0	0	0	0	0	0	1	6	2	0	0	0	0	0
Alteromonas_sp._UBA12571_GCA_003542165_		0	0	7	0	0	0	0	0	1	0	1	7	6	0	0	0	0	0
Alteromonas_sp._UBA1848_GCA_002338585_		0	0	7	0	0	0	0	0	2	1	2	9	5	0	0	0	1	0
Alteromonas_sp._UBA8646_GCA_003520065_		0	0	4	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0
Alteromonas_sp._UBA9522_GCA_003513035_		0	0	4	0	0	0	0	0	0	0	1	10	2	0	1	0	0	0
Alteromonas_stellipolaris_GCA_001433715_		0	0	7	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_stellipolaris_GCA_001632765_		0	0	8	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_stellipolaris_GCA_001632825_		0	0	7	0	0	0	0	0	1	0	3	11	2	0	0	0	1	0
Alteromonas_SW22112_012270115_		0	0	6	0	0	0	0	0	1	0	2	7	3	0	0	0	0	0
Bowmanella_denitrificans_GCA_002887595_		0	0	20	0	0	0	0	0	1	1	1	7	2	0	0	0	0	0
Bowmanella_dokdonensis_GCA_017254865_		0	0	14	0	0	0	0	0	1	1	1	6	3	0	0	0	0	0
Bowmanella_yangjiangensis_GCA_017255015_		0	0	18	0	0	0	0	0	1	1	1	9	3	0	3	0	0	0
Bowmanella_yangjiangensis_GCA_018531185_		0	0	20	0	0	0	0	0	0	0	1	9	3	0	3	0	0	0
Catenovulum_agarivorans_GCA_000281085_		0	0	15	0	0	0	0	0	4	1	0	5	1	0	0	0	0	0
Catenovulum_sediminis_GCA_007289895_		0	0	9	0	0	0	0	0	3	1	0	5	1	0	0	0	0	0
Catenovulum_sp._GCA_026725475_		0	0	12	0	0	0	0	0	3	1	0	4	1	0	0	0	0	0
Gammaproteobacteria_bacterium_GCA_001050375_		0	0	19	0	0	0	0	0	3	1	0	4	1	0	0	0	0	0
Glaciecola_nitratireducens_GCA_000226565_		0	0	7	1	1	0	0	0	0	0	3	5	2	0	0	0	1	0
Glaciecola_pallidula_GCA_000428905_		0	0	3	1	1	0	0	0	4	2	2	11	6	0	0	0	2	0
Glaciecola_sp._GCA_000155775_		0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	1	0
Glaciecola_sp._GCA_015595035_		0	0	9	1	1	0	0	0	1	0	1	5	2	0	1	0	0	0
Glaciecola_sp._GCA_018595715_		0	0	6	1	1	0	0	0	0	0	1	6	2	0	1	0	1	0
Glaciecola_sp._UBA11045_GCA_003534955_		0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0
Glaciecola_sp._UBA12246_GCA_003477165_		0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	1	0
Glaciecola_sp._UBA1851_GCA_002338515_		0	0	9	1	1	0	0	0	0	0	1	6	2	0	1	0	1	0
Glaciecola_sp._UBA2563_GCA_002340325_		0	0	14	1	1	0	0	0	2	0	1	6	2	0	1	0	1	0
Glaciecola_sp._UBA7419_GCA_002470005_		0	0	1	0	0	0	0	0	0	0	2	6	5	0	0	0	0	0
Glaciecola_sp._UBA9603_GCA_003448935_		0	0	0	0	0	0	0	0	2	1	2	4	1	0	0	0	0	0
Glaciecola_sp._UBA983_GCA_002292215_		0	0	1	0	0	0	0	0	0	0	2	4	4	0	0	0	1	0
Hydrocarboniclastica_marina_GCA_004851605_		0	0	17	2	2	0	0	0	2	1	0	6	6	0	2	0	4	0
Lacimicrobium_alkaliphilum_GCA_001466725_		0	0	13	1	1	0	0	0	1	0	2	10	4	0	0	0	0	0
Lacimicrobium_alkaliphilum_GCA_014640135_		0	0	15	0	0	0	0	0	0	0	2	10	4	0	0	0	0	0
Marisediminitalea_aggregata_GCA_024331185_		0	0	9	0	0	0	0	0	1	0	0	9	2	0	1	0	0	0
Paraglaciecola_agarilytica_GCA_018861095_		0	0	7	0	0	0	0	0	2	0	2	11	4	0	1	0	0	0
Paraglaciecola_agarilytica_UBA5045_GCA_002415095_		0	0	7	0	0	0	0	0	3	1	3	14	8	0	2	0	0	0
Paraglaciecola_arctica_GCA_018861065_		0	0	7	0	0	0	0	0	4	3	2	12	8	0	1	0	3	0
Paraglaciecola_CG_009995325_		0	0	10	1	1	0	0	0	0	0	1	3	0	0	1	0	0	0
Paraglaciecola_chathamensis_GCA_016405925_		0	0	8	0	0	0	0	0	2	0	2	9	5	0	1	0	0	0
Paraglaciecola_hydrolytica_GCA_001565895_		0	0	9	1	1	0	0	0	3	2	1	8	2	0	1	0	0	0
Paraglaciecola_marina_GCA_004360155_		0	0	9	0	0	0	0	0	2	1	2	9	3	0	0	0	0	0
Paraglaciecola_mesophila_GCA_009906955_		0	0	9	0	0	0	0	0	2	0	2	11	5	0	1	0	0	0
Paraglaciecola_oceanifecundans_GCA_014652595_		0	0	7	0	0	0	0	0	3	1	4	13	10	0	2	0	1	0
Paraglaciecola_psychrophila_GCA_000347635_		0	0	5	0	0	0	0	0	2	1	5	6	10	0	0	0	5	0
Paraglaciecola_sp._AC_MB354_sp_		0	0	0	0	0	0	0	0	1	0	3	4	6	0	0	0	3	0
Paraglaciecola_sp._GCA_009796745_		0	0	7	0	0	0	0	0	1	0	2	8	5	0	1	0	0	0
Paraglaciecola_sp._GCA_009796765_		0	0	5	0	0	0	0	0	2	1	0	6	1	0	0	0	0	0
Paraglaciecola_sp._GCA_011378905_		0	0	10	0	0	0	0	0	2	0	3	11	11	0	1	0	1	0
Paraneptunicella_aestuarii_GCA_019900845_		0	0	22	0	0	0	0	0	0	0	0	5	6	0	0	0	2	0
Planctobacterium_marinum_GCA_020687805_		0	0	20	1	1	0	0	0	1	0	0	5	2	0	1	0	0	0
Saccharobesus_litoralis_GCA_003063625_		0	1	21	0	0	0	0	0	4	3	0	6	1	0	0	0	0	0
Salinimonas_chungwhensis_GCA_000378185_		0	0	13	0	0	0	0	0	0	0	3	8	3	0	0	0	0	0
Salinimonas_iocasae_GCA_006228385_		0	1	8	0	0	0	0	0	0	0	2	7	4	0	0	0	0	0
Salinimonas_lutimaris_GCA_005222225_		0	0	9	0	0	0	0	0	0	0	2	9	3	0	0	0	0	0
Salinimonas_marina_GCA_015644725_		0	0	8	0	0	0	0	0	0	0	2	6	4	0	0	0	0	0
Salinimonas_profundi_GCA_014750655_		0	0	10	0	0	0	0	0	0	0	2	7	4	0	0	0	0	0
Salinimonas_sediminis_GCA_003429285_		0	1	10	0	0	0	0	0	0	0	2	6	3	0	0	0	0	0
Saliniradius_amylolyticus_GCA_003143555_		0	0	14	0	0	0	0	0	0	0	2	8	2	0	0	0	0	0
Alteromonas_sp000753865_700mSIPHEX1_2		0	0	8	0	0	0	0	0	1	0	2	8	3	0	0	0	1	0
Alteromonas_sp000753865_700mSIPHEX2_22		0	0	8	0	0	0	0	0	1	0	2	8	3	0	0	0	1	0
Glaciecola_5mSIPHEX1_9		0	0	6	1	1	0	0	0	1	0	1	4	1	0	0	0	0	0
Glaciecola_700mSIPHEX1_18		0	0	9	1	1	0	0	0	1	0	1	6	3	0	1	0	1	0
Glaciecola_700mSIPHEX2_16		0	0	8	1	1	0	0	0	1	0	1	6	3	0	1	0	1	0
