"","1097677.33.faa","1874630.22.faa","1874630.26.faa","31963.54.faa","31963.56.faa","31964.81.faa","31964.84.faa","31965.20.faa","31965.24.faa","33014.40.faa","33014.42.faa","443906.110.faa","gene","more_than_half"
"40",1,0,0,1,1,1,1,0,0,1,1,1,"1239_fig-1097677.33.peg.1239.faa",TRUE
"41",1,0,0,1,1,1,1,1,1,1,1,1,"1316_fig-1097677.33.peg.1316.faa",TRUE
"42",1,0,0,1,1,1,1,1,1,1,1,1,"1454_fig-1097677.33.peg.1454.faa",TRUE
"43",1,0,0,1,1,1,1,0,0,1,1,1,"1557_fig-1097677.33.peg.1557.faa",TRUE
"44",1,0,0,1,1,1,1,0,0,1,1,1,"1594_fig-1097677.33.peg.1594.faa",TRUE
"45",1,1,0,1,1,1,1,1,1,1,1,1,"1606_fig-1097677.33.peg.1606.faa",TRUE
"46",1,0,0,1,1,1,1,1,1,1,1,1,"1780_fig-1097677.33.peg.1780.faa",TRUE
"47",1,0,0,1,1,1,1,1,1,1,1,1,"1869_fig-1097677.33.peg.1869.faa",TRUE
"48",1,1,0,1,1,1,1,1,1,1,1,1,"1888_fig-1097677.33.peg.1888.faa",TRUE
"49",1,0,0,1,1,1,1,0,0,1,1,1,"1980_fig-1097677.33.peg.1980.faa",TRUE
"50",1,0,0,1,1,1,1,0,0,1,1,1,"2131_fig-1097677.33.peg.2131.faa",TRUE
"51",1,0,0,1,1,1,1,0,0,1,1,1,"2132_fig-1097677.33.peg.2132.faa",TRUE
"52",1,0,0,1,1,0,0,1,1,1,1,1,"2142_fig-1097677.33.peg.2142.faa",TRUE
"53",1,0,0,1,1,1,1,0,0,1,1,1,"2199_fig-1097677.33.peg.2199.faa",TRUE
"54",1,0,0,1,1,1,1,0,0,1,1,0,"2278_fig-1097677.33.peg.2278.faa",TRUE
"55",1,0,0,1,1,1,1,0,0,1,1,0,"2279_fig-1097677.33.peg.2279.faa",TRUE
"56",1,0,0,1,1,1,1,0,0,1,1,1,"2283_fig-1097677.33.peg.2283.faa",TRUE
"57",1,0,0,1,1,1,1,1,1,0,0,1,"2335_fig-1097677.33.peg.2335.faa",TRUE
"58",1,0,0,1,1,1,1,0,0,1,1,0,"2337_fig-1097677.33.peg.2337.faa",TRUE
"59",1,1,0,1,1,1,1,1,1,1,1,0,"2366_fig-1097677.33.peg.2366.faa",TRUE
"60",1,0,0,1,1,1,1,1,1,1,1,1,"2371_fig-1097677.33.peg.2371.faa",TRUE
"61",1,0,0,1,1,1,1,0,0,1,1,1,"2376_fig-1097677.33.peg.2376.faa",TRUE
"62",1,0,0,1,1,1,1,0,0,1,1,0,"2434_fig-1097677.33.peg.2434.faa",TRUE
"63",1,0,0,1,1,1,1,0,0,1,1,0,"2435_fig-1097677.33.peg.2435.faa",TRUE
"64",1,1,0,1,1,1,1,0,0,0,0,1,"2667_fig-1097677.33.peg.2667.faa",TRUE
"65",1,1,0,1,1,1,1,0,0,0,0,1,"2668_fig-1097677.33.peg.2668.faa",TRUE
"66",1,0,0,1,1,0,0,1,1,1,1,1,"2689_fig-1097677.33.peg.2689.faa",TRUE
"67",1,0,0,1,1,0,1,0,0,1,1,1,"2740_fig-1097677.33.peg.2740.faa",TRUE
"68",1,0,0,1,1,1,1,1,1,0,0,0,"2783_fig-1097677.33.peg.2783.faa",TRUE
"69",1,1,0,1,1,0,0,1,1,0,1,0,"2840_fig-1097677.33.peg.2840.faa",TRUE
"70",1,0,0,1,1,0,0,1,1,1,1,0,"2855_fig-1097677.33.peg.2855.faa",TRUE
"71",1,0,0,1,1,1,1,1,1,1,1,1,"2877_fig-1097677.33.peg.2877.faa",TRUE
"72",1,0,0,1,1,1,1,0,0,1,1,1,"2899_fig-1097677.33.peg.2899.faa",TRUE
"73",0,1,0,0,0,1,1,1,1,1,1,1,"4077_fig-1874630.22.peg.1173.faa",TRUE
"74",0,1,0,0,0,1,1,1,1,1,1,1,"4078_fig-1874630.22.peg.1174.faa",TRUE
"75",0,1,0,0,0,1,1,1,1,1,1,1,"4352_fig-1874630.22.peg.1448.faa",TRUE
"76",0,1,0,0,0,1,1,1,1,1,1,1,"5194_fig-1874630.22.peg.2290.faa",TRUE
"77",0,1,0,1,1,1,1,1,1,0,1,1,"5515_fig-1874630.22.peg.2611.faa",TRUE
"78",0,1,0,0,0,1,1,1,1,1,1,1,"5573_fig-1874630.22.peg.2669.faa",TRUE
"79",1,1,1,1,1,1,1,1,1,1,1,1,"5807_fig-1874630.26.peg.1.faa",TRUE
"80",1,1,1,1,1,1,1,1,1,1,1,1,"5808_fig-1874630.26.peg.2.faa",TRUE
"81",1,1,1,1,1,1,1,1,1,1,1,1,"5809_fig-1874630.26.peg.3.faa",TRUE
"82",1,1,1,1,1,1,1,1,1,1,1,1,"5810_fig-1874630.26.peg.4.faa",TRUE
"83",1,1,1,1,1,1,1,1,1,1,1,1,"5811_fig-1874630.26.peg.5.faa",TRUE
"84",1,1,1,1,1,1,1,1,1,1,1,1,"5812_fig-1874630.26.peg.6.faa",TRUE
"85",1,1,1,1,1,1,1,1,1,1,1,1,"5813_fig-1874630.26.peg.7.faa",TRUE
"86",1,1,1,1,1,1,1,1,1,1,1,1,"5814_fig-1874630.26.peg.8.faa",TRUE
"87",1,1,1,1,1,1,1,1,1,1,1,1,"5815_fig-1874630.26.peg.9.faa",TRUE
"88",1,1,1,1,1,1,1,1,1,1,1,1,"5816_fig-1874630.26.peg.10.faa",TRUE
"89",1,1,1,1,1,1,1,1,1,1,1,1,"5817_fig-1874630.26.peg.11.faa",TRUE
"90",1,1,1,1,1,1,1,1,1,1,1,1,"5818_fig-1874630.26.peg.12.faa",TRUE
"91",1,1,1,1,1,1,1,1,1,1,1,1,"5819_fig-1874630.26.peg.13.faa",TRUE
"92",1,1,1,1,1,1,1,1,1,1,1,1,"5820_fig-1874630.26.peg.14.faa",TRUE
"93",1,1,1,1,1,1,1,1,1,1,1,1,"5821_fig-1874630.26.peg.15.faa",TRUE
"94",1,1,1,1,1,1,1,1,1,1,1,1,"5822_fig-1874630.26.peg.16.faa",TRUE
"95",1,1,1,1,1,1,1,1,1,1,1,1,"5823_fig-1874630.26.peg.17.faa",TRUE
"96",1,1,1,1,1,1,1,1,1,1,1,1,"5824_fig-1874630.26.peg.18.faa",TRUE
"97",1,1,1,1,1,1,1,1,1,1,1,1,"5825_fig-1874630.26.peg.19.faa",TRUE
"98",1,1,1,1,1,1,1,1,1,1,1,1,"5826_fig-1874630.26.peg.20.faa",TRUE
"99",1,1,1,1,1,1,1,1,1,1,1,1,"5827_fig-1874630.26.peg.21.faa",TRUE
"100",1,1,1,1,1,1,1,1,1,1,1,1,"5828_fig-1874630.26.peg.22.faa",TRUE
"101",1,1,1,1,1,1,1,1,1,0,0,1,"5830_fig-1874630.26.peg.24.faa",TRUE
"102",1,1,1,1,1,1,1,1,1,0,0,1,"5831_fig-1874630.26.peg.25.faa",TRUE
"103",1,1,1,1,1,1,1,1,1,0,0,1,"5832_fig-1874630.26.peg.26.faa",TRUE
"104",1,1,1,1,1,1,1,1,1,1,1,1,"5833_fig-1874630.26.peg.27.faa",TRUE
"105",1,1,1,1,1,1,1,1,1,1,1,1,"5834_fig-1874630.26.peg.28.faa",TRUE
"106",1,1,1,1,1,1,1,1,1,1,1,1,"5835_fig-1874630.26.peg.29.faa",TRUE
"107",1,1,1,1,1,0,0,1,1,1,1,1,"5836_fig-1874630.26.peg.30.faa",TRUE
"108",1,1,1,1,1,0,0,1,1,0,1,1,"5837_fig-1874630.26.peg.31.faa",TRUE
"109",1,1,1,1,1,0,0,1,1,0,1,1,"5839_fig-1874630.26.peg.33.faa",TRUE
"110",1,1,1,1,1,0,0,1,1,0,1,1,"5840_fig-1874630.26.peg.34.faa",TRUE
"111",1,1,1,1,1,0,0,1,1,0,1,1,"5842_fig-1874630.26.peg.36.faa",TRUE
"112",1,1,1,1,1,0,0,1,1,0,1,1,"5843_fig-1874630.26.peg.37.faa",TRUE
"113",1,1,1,1,1,0,0,1,1,0,0,1,"5844_fig-1874630.26.peg.38.faa",TRUE
"114",1,1,1,1,1,0,0,1,1,0,0,1,"5845_fig-1874630.26.peg.39.faa",TRUE
"115",1,1,1,1,1,0,0,1,1,0,1,1,"5846_fig-1874630.26.peg.40.faa",TRUE
"116",0,1,1,1,1,1,1,1,1,1,1,1,"5848_fig-1874630.26.peg.42.faa",TRUE
"117",0,1,1,1,0,0,0,1,1,0,1,1,"5853_fig-1874630.26.peg.47.faa",TRUE
"118",1,1,1,1,0,0,0,1,1,0,1,1,"5854_fig-1874630.26.peg.48.faa",TRUE
"119",1,1,1,1,1,0,0,0,0,0,1,1,"5855_fig-1874630.26.peg.49.faa",TRUE
"120",1,1,1,1,1,0,0,1,1,0,1,1,"5856_fig-1874630.26.peg.50.faa",TRUE
"121",1,1,1,1,1,0,0,1,1,1,1,1,"5858_fig-1874630.26.peg.52.faa",TRUE
"122",1,1,1,1,1,0,0,1,1,1,1,1,"5859_fig-1874630.26.peg.53.faa",TRUE
"123",0,1,1,0,0,0,0,1,1,1,1,1,"5860_fig-1874630.26.peg.54.faa",TRUE
"124",1,1,1,1,1,0,0,1,1,1,1,1,"5861_fig-1874630.26.peg.55.faa",TRUE
"125",1,1,1,1,1,0,0,1,1,1,1,1,"5862_fig-1874630.26.peg.56.faa",TRUE
"126",1,1,1,1,1,1,1,1,1,1,1,1,"5863_fig-1874630.26.peg.57.faa",TRUE
"127",1,1,1,1,1,1,1,1,1,1,1,1,"5864_fig-1874630.26.peg.58.faa",TRUE
"128",1,1,1,1,1,1,1,1,1,1,1,1,"5865_fig-1874630.26.peg.59.faa",TRUE
"129",1,1,1,1,1,1,1,1,1,1,1,1,"5866_fig-1874630.26.peg.60.faa",TRUE
"130",1,1,1,1,1,1,1,0,0,1,1,1,"5867_fig-1874630.26.peg.61.faa",TRUE
"131",1,1,1,1,1,0,0,0,0,1,1,1,"5868_fig-1874630.26.peg.62.faa",TRUE
"132",1,1,1,1,1,1,1,0,0,1,1,1,"5870_fig-1874630.26.peg.64.faa",TRUE
"133",1,1,1,1,1,1,1,1,1,1,1,1,"5872_fig-1874630.26.peg.66.faa",TRUE
"134",1,1,1,1,1,1,1,1,1,1,1,1,"5873_fig-1874630.26.peg.67.faa",TRUE
"135",1,1,1,1,1,1,1,1,1,1,1,1,"5874_fig-1874630.26.peg.68.faa",TRUE
"136",1,1,1,1,1,1,1,1,1,1,1,1,"5875_fig-1874630.26.peg.69.faa",TRUE
"137",1,1,1,1,1,1,1,1,1,1,1,1,"5876_fig-1874630.26.peg.70.faa",TRUE
"138",1,1,1,1,1,1,1,0,0,0,0,1,"5877_fig-1874630.26.peg.71.faa",TRUE
"139",1,1,1,1,1,1,1,1,1,1,1,1,"5878_fig-1874630.26.peg.72.faa",TRUE
"140",1,1,1,1,1,1,1,1,1,1,1,1,"5879_fig-1874630.26.peg.73.faa",TRUE
"141",1,1,1,1,1,1,1,1,1,1,1,1,"5880_fig-1874630.26.peg.74.faa",TRUE
"142",1,1,1,1,1,1,1,1,1,1,1,1,"5881_fig-1874630.26.peg.75.faa",TRUE
"143",1,1,1,1,1,1,1,1,1,1,1,1,"5882_fig-1874630.26.peg.76.faa",TRUE
"144",1,1,1,1,1,0,0,1,1,1,1,1,"5883_fig-1874630.26.peg.77.faa",TRUE
"145",1,1,1,1,1,1,1,0,0,1,1,0,"5885_fig-1874630.26.peg.79.faa",TRUE
"146",1,1,1,1,1,1,1,1,1,1,1,1,"5886_fig-1874630.26.peg.80.faa",TRUE
"147",1,1,1,1,0,1,1,0,0,1,1,1,"5887_fig-1874630.26.peg.81.faa",TRUE
"148",1,1,1,1,1,1,1,1,1,1,1,1,"5888_fig-1874630.26.peg.82.faa",TRUE
"149",1,1,1,1,1,1,1,1,1,1,1,1,"5889_fig-1874630.26.peg.83.faa",TRUE
"150",1,1,1,1,1,1,1,1,1,1,1,1,"5890_fig-1874630.26.peg.84.faa",TRUE
"151",1,1,1,1,1,1,1,1,1,1,1,1,"5892_fig-1874630.26.peg.86.faa",TRUE
"152",1,1,1,1,1,1,1,1,1,1,1,1,"5898_fig-1874630.26.peg.92.faa",TRUE
"153",1,1,1,1,1,1,1,1,1,1,1,1,"5900_fig-1874630.26.peg.94.faa",TRUE
"154",1,1,1,1,1,1,1,1,1,1,1,1,"5901_fig-1874630.26.peg.95.faa",TRUE
"155",1,1,1,1,1,1,1,1,1,1,1,1,"5905_fig-1874630.26.peg.99.faa",TRUE
"156",1,1,1,1,1,1,1,1,1,0,1,1,"5906_fig-1874630.26.peg.100.faa",TRUE
"157",1,1,1,1,1,1,1,1,1,1,1,1,"5907_fig-1874630.26.peg.101.faa",TRUE
"158",1,1,1,1,1,1,1,1,1,1,1,1,"5908_fig-1874630.26.peg.102.faa",TRUE
"159",1,1,1,1,1,1,1,1,1,1,1,1,"5910_fig-1874630.26.peg.104.faa",TRUE
"160",1,0,1,1,1,1,1,1,1,1,1,1,"5911_fig-1874630.26.peg.105.faa",TRUE
"161",1,0,1,1,1,1,1,1,1,0,0,1,"5912_fig-1874630.26.peg.106.faa",TRUE
"162",1,1,1,1,1,1,1,1,1,1,1,1,"5913_fig-1874630.26.peg.107.faa",TRUE
"163",1,1,1,1,1,1,1,1,1,1,1,1,"5921_fig-1874630.26.peg.115.faa",TRUE
"164",1,1,1,1,1,1,1,1,1,1,1,1,"5922_fig-1874630.26.peg.116.faa",TRUE
"165",1,1,1,1,1,0,0,1,1,0,0,0,"5923_fig-1874630.26.peg.117.faa",TRUE
"166",1,1,1,1,1,0,0,1,1,0,0,0,"5924_fig-1874630.26.peg.118.faa",TRUE
"167",1,1,1,1,1,0,0,1,1,0,0,0,"5925_fig-1874630.26.peg.119.faa",TRUE
"168",1,1,1,1,1,0,0,1,1,0,0,0,"5926_fig-1874630.26.peg.120.faa",TRUE
"169",0,1,1,0,0,0,0,1,1,1,1,1,"5928_fig-1874630.26.peg.122.faa",TRUE
"170",1,1,1,1,1,1,1,1,1,1,1,1,"5931_fig-1874630.26.peg.125.faa",TRUE
"171",1,1,1,1,1,1,1,1,1,1,1,1,"5932_fig-1874630.26.peg.126.faa",TRUE
"172",1,1,1,1,1,0,0,1,1,1,1,0,"5933_fig-1874630.26.peg.127.faa",TRUE
"173",1,1,1,1,1,1,1,1,1,1,1,1,"5935_fig-1874630.26.peg.129.faa",TRUE
"174",1,1,1,1,1,1,1,1,1,1,1,1,"5936_fig-1874630.26.peg.130.faa",TRUE
"175",1,0,1,1,1,1,1,0,0,0,0,1,"5937_fig-1874630.26.peg.131.faa",TRUE
"176",1,0,1,1,1,1,1,0,0,0,0,1,"5938_fig-1874630.26.peg.132.faa",TRUE
"177",1,1,1,1,1,0,0,1,1,1,1,1,"5939_fig-1874630.26.peg.133.faa",TRUE
"178",1,1,1,1,1,1,1,1,1,1,1,1,"5947_fig-1874630.26.peg.141.faa",TRUE
"179",1,1,1,1,1,1,1,1,1,1,1,1,"5951_fig-1874630.26.peg.145.faa",TRUE
"180",1,1,1,1,1,1,1,1,1,1,1,1,"5952_fig-1874630.26.peg.146.faa",TRUE
"181",1,1,1,1,1,1,1,1,1,1,1,1,"5953_fig-1874630.26.peg.147.faa",TRUE
"182",1,1,1,1,1,1,1,1,1,1,1,1,"5954_fig-1874630.26.peg.148.faa",TRUE
"183",1,1,1,1,1,1,1,1,1,0,0,1,"5955_fig-1874630.26.peg.149.faa",TRUE
"184",1,1,1,1,1,1,1,1,1,0,0,1,"5956_fig-1874630.26.peg.150.faa",TRUE
"185",1,1,1,1,1,1,1,1,1,0,0,1,"5957_fig-1874630.26.peg.151.faa",TRUE
"186",1,1,1,1,1,1,1,1,1,1,1,1,"5958_fig-1874630.26.peg.152.faa",TRUE
"187",1,1,1,1,1,1,1,1,1,1,1,1,"5959_fig-1874630.26.peg.153.faa",TRUE
"188",0,1,1,0,0,1,1,1,1,1,1,0,"5960_fig-1874630.26.peg.154.faa",TRUE
"189",0,0,1,0,0,1,1,1,1,1,1,0,"5961_fig-1874630.26.peg.155.faa",TRUE
"190",1,1,1,1,1,0,0,1,1,1,1,1,"5962_fig-1874630.26.peg.156.faa",TRUE
"191",1,1,1,1,1,1,1,1,1,1,1,1,"5964_fig-1874630.26.peg.158.faa",TRUE
"192",0,0,1,0,0,1,1,1,1,1,1,1,"5969_fig-1874630.26.peg.163.faa",TRUE
"193",1,1,1,1,1,1,1,1,1,1,1,1,"5972_fig-1874630.26.peg.166.faa",TRUE
"194",1,1,1,1,1,1,1,1,1,1,1,1,"5973_fig-1874630.26.peg.167.faa",TRUE
"195",1,1,1,1,1,1,1,1,1,1,1,1,"5974_fig-1874630.26.peg.168.faa",TRUE
"196",1,1,1,1,1,1,1,1,1,1,1,1,"5975_fig-1874630.26.peg.169.faa",TRUE
"197",1,1,1,1,1,1,1,1,1,1,1,1,"5976_fig-1874630.26.peg.170.faa",TRUE
"198",1,1,1,1,1,1,1,1,1,1,1,1,"5977_fig-1874630.26.peg.171.faa",TRUE
"199",0,1,1,0,0,1,1,0,0,1,1,1,"5978_fig-1874630.26.peg.172.faa",TRUE
"200",1,1,1,1,1,1,1,1,1,1,1,1,"5979_fig-1874630.26.peg.173.faa",TRUE
"201",1,1,1,1,1,0,0,1,1,1,1,1,"5980_fig-1874630.26.peg.174.faa",TRUE
"202",1,1,1,1,1,1,1,1,1,1,1,1,"5983_fig-1874630.26.peg.177.faa",TRUE
"203",1,1,1,1,1,1,1,1,1,1,1,1,"5984_fig-1874630.26.peg.178.faa",TRUE
"204",1,1,1,1,1,1,1,1,1,1,1,1,"5986_fig-1874630.26.peg.180.faa",TRUE
"205",0,1,1,0,0,1,1,1,1,1,1,1,"5988_fig-1874630.26.peg.182.faa",TRUE
"206",1,0,1,1,1,1,1,1,1,1,1,1,"5991_fig-1874630.26.peg.185.faa",TRUE
"207",1,1,1,1,1,1,1,1,1,1,1,1,"5993_fig-1874630.26.peg.187.faa",TRUE
"208",1,1,1,1,1,1,1,1,1,1,1,1,"5994_fig-1874630.26.peg.188.faa",TRUE
"209",1,1,1,1,1,1,1,1,1,1,1,1,"5995_fig-1874630.26.peg.189.faa",TRUE
"210",1,1,1,1,1,1,1,1,1,1,1,1,"5996_fig-1874630.26.peg.190.faa",TRUE
"211",1,1,1,1,1,1,1,1,1,1,1,1,"5997_fig-1874630.26.peg.191.faa",TRUE
"212",1,1,1,1,1,1,1,1,1,1,1,1,"5999_fig-1874630.26.peg.193.faa",TRUE
"213",1,1,1,1,1,1,1,1,1,1,1,1,"6000_fig-1874630.26.peg.194.faa",TRUE
"214",1,1,1,1,1,1,1,1,1,1,1,1,"6001_fig-1874630.26.peg.195.faa",TRUE
"215",1,1,1,1,1,1,1,1,1,1,1,0,"6002_fig-1874630.26.peg.196.faa",TRUE
"216",0,1,1,0,0,1,1,1,1,0,0,1,"6008_fig-1874630.26.peg.202.faa",TRUE
"217",1,1,1,1,1,1,1,1,1,1,1,1,"6012_fig-1874630.26.peg.206.faa",TRUE
"218",0,1,1,0,0,1,1,0,0,1,1,1,"6013_fig-1874630.26.peg.207.faa",TRUE
"219",1,1,1,1,1,0,0,1,1,1,1,0,"6015_fig-1874630.26.peg.209.faa",TRUE
"220",1,1,1,1,1,1,1,1,1,1,1,1,"6016_fig-1874630.26.peg.210.faa",TRUE
"221",1,1,1,1,1,1,1,1,1,1,1,1,"6017_fig-1874630.26.peg.211.faa",TRUE
"222",1,1,1,1,1,1,1,1,1,1,1,1,"6018_fig-1874630.26.peg.212.faa",TRUE
"223",1,1,1,1,1,1,1,1,1,1,1,1,"6019_fig-1874630.26.peg.213.faa",TRUE
"224",1,1,1,1,1,1,1,1,1,1,1,1,"6021_fig-1874630.26.peg.215.faa",TRUE
"225",1,1,1,1,1,1,1,1,1,1,1,1,"6022_fig-1874630.26.peg.216.faa",TRUE
"226",1,1,1,1,1,1,1,1,1,1,1,1,"6023_fig-1874630.26.peg.217.faa",TRUE
"227",1,1,1,1,1,1,1,1,1,1,1,1,"6024_fig-1874630.26.peg.218.faa",TRUE
"228",1,1,1,1,1,1,1,1,1,1,1,1,"6025_fig-1874630.26.peg.219.faa",TRUE
"229",1,1,1,1,1,1,1,1,1,1,1,1,"6029_fig-1874630.26.peg.223.faa",TRUE
"230",1,1,1,1,1,1,1,1,1,1,1,1,"6031_fig-1874630.26.peg.225.faa",TRUE
"231",1,1,1,1,1,1,1,1,1,1,1,1,"6033_fig-1874630.26.peg.227.faa",TRUE
"232",1,1,1,1,1,1,1,1,1,0,0,1,"6036_fig-1874630.26.peg.230.faa",TRUE
"233",1,1,1,1,1,0,0,1,1,1,1,1,"6041_fig-1874630.26.peg.235.faa",TRUE
"234",1,1,1,1,1,0,0,1,1,0,0,0,"6042_fig-1874630.26.peg.236.faa",TRUE
"235",1,1,1,1,1,1,1,1,1,0,0,1,"6043_fig-1874630.26.peg.237.faa",TRUE
"236",1,1,1,1,1,1,1,1,1,1,1,1,"6044_fig-1874630.26.peg.238.faa",TRUE
"237",1,1,1,1,1,1,1,1,1,1,1,1,"6052_fig-1874630.26.peg.246.faa",TRUE
"238",1,1,1,1,1,1,1,1,1,1,1,1,"6053_fig-1874630.26.peg.247.faa",TRUE
"239",1,1,1,1,1,1,1,1,1,1,1,1,"6054_fig-1874630.26.peg.248.faa",TRUE
"240",1,1,1,1,1,1,1,1,1,1,1,1,"6055_fig-1874630.26.peg.249.faa",TRUE
"241",1,1,1,1,1,1,1,1,1,1,1,1,"6056_fig-1874630.26.peg.250.faa",TRUE
"242",1,1,1,1,1,1,1,1,1,1,1,1,"6057_fig-1874630.26.peg.251.faa",TRUE
"243",1,1,1,0,1,1,1,1,1,1,1,1,"6059_fig-1874630.26.peg.253.faa",TRUE
"244",1,1,1,1,1,1,1,0,0,1,1,1,"6061_fig-1874630.26.peg.255.faa",TRUE
"245",1,1,1,1,1,1,1,1,1,1,1,1,"6062_fig-1874630.26.peg.256.faa",TRUE
"246",1,1,1,1,1,1,1,1,1,1,1,1,"6063_fig-1874630.26.peg.257.faa",TRUE
"247",1,1,1,1,1,1,1,1,1,1,1,1,"6064_fig-1874630.26.peg.258.faa",TRUE
"248",1,1,1,1,1,1,1,1,1,1,1,1,"6065_fig-1874630.26.peg.259.faa",TRUE
"249",1,1,1,1,1,1,1,1,1,1,1,1,"6066_fig-1874630.26.peg.260.faa",TRUE
"250",1,1,1,1,1,1,1,1,1,1,1,1,"6067_fig-1874630.26.peg.261.faa",TRUE
"251",1,1,1,1,1,0,0,1,1,1,1,1,"6068_fig-1874630.26.peg.262.faa",TRUE
"252",1,1,1,1,1,1,1,1,1,1,1,1,"6069_fig-1874630.26.peg.263.faa",TRUE
"253",1,1,1,1,1,1,1,0,0,1,1,1,"6070_fig-1874630.26.peg.264.faa",TRUE
"254",1,1,1,1,1,0,0,1,1,0,0,0,"6073_fig-1874630.26.peg.267.faa",TRUE
"255",1,1,1,0,1,1,1,1,1,1,1,1,"6077_fig-1874630.26.peg.271.faa",TRUE
"256",1,1,1,1,1,1,1,1,1,1,1,1,"6079_fig-1874630.26.peg.273.faa",TRUE
"257",1,1,1,1,1,1,1,1,1,1,1,1,"6080_fig-1874630.26.peg.274.faa",TRUE
"258",1,1,1,1,1,1,1,1,1,1,1,1,"6081_fig-1874630.26.peg.275.faa",TRUE
"259",1,1,1,1,1,1,1,1,1,1,1,1,"6082_fig-1874630.26.peg.276.faa",TRUE
